"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_644_650",647,"clinical","ppy",2.86780241031927
"SLE","Eastern","rural/urban merged","n_age_651_657",654,"clinical","ppy",2.80308554454533
"SLE","Eastern","rural/urban merged","n_age_658_664",661,"clinical","ppy",2.85119899700563
"SLE","Eastern","rural/urban merged","n_age_665_671",668,"clinical","ppy",2.78571397969231
"SLE","Eastern","rural/urban merged","n_age_672_678",675,"clinical","ppy",2.7551523628461
"SLE","Eastern","rural/urban merged","n_age_679_685",682,"clinical","ppy",2.6831543615487
"SLE","Eastern","rural/urban merged","n_age_686_692",689,"clinical","ppy",2.73183671903235
"SLE","Eastern","rural/urban merged","n_age_693_699",696,"clinical","ppy",2.95214839585822
"SLE","Eastern","rural/urban merged","n_age_700_706",703,"clinical","ppy",2.77178275155548
"SLE","Eastern","rural/urban merged","n_age_707_713",710,"clinical","ppy",2.64407375116923
"SLE","Eastern","rural/urban merged","n_age_714_720",717,"clinical","ppy",2.60261514830169
"SLE","Eastern","rural/urban merged","n_age_721_727",724,"clinical","ppy",2.8072116260617
"SLE","Eastern","rural/urban merged","n_age_728_734",731,"clinical","ppy",2.6360184521248
"SLE","Eastern","rural/urban merged","n_age_735_741",738,"clinical","ppy",2.7828833970375
"SLE","Eastern","rural/urban merged","n_age_742_748",745,"clinical","ppy",2.68878193104937
"SLE","Eastern","rural/urban merged","n_age_749_755",752,"clinical","ppy",2.65151313871921
"SLE","Eastern","rural/urban merged","n_age_756_762",759,"clinical","ppy",2.68942862507771
"SLE","Eastern","rural/urban merged","n_age_763_769",766,"clinical","ppy",2.69515013356968
"SLE","Eastern","rural/urban merged","n_age_770_776",773,"clinical","ppy",2.74463133716565
"SLE","Eastern","rural/urban merged","n_age_777_783",780,"clinical","ppy",2.6270432289197
"SLE","Eastern","rural/urban merged","n_age_784_790",787,"clinical","ppy",2.61919641785268
"SLE","Eastern","rural/urban merged","n_age_791_797",794,"clinical","ppy",2.59175799849291
"SLE","Eastern","rural/urban merged","n_age_798_804",801,"clinical","ppy",2.60656127162868
"SLE","Eastern","rural/urban merged","n_age_805_811",808,"clinical","ppy",2.5505734465333
"SLE","Eastern","rural/urban merged","n_age_812_818",815,"clinical","ppy",2.5730066003553
"SLE","Eastern","rural/urban merged","n_age_819_825",822,"clinical","ppy",2.50375649939367
"SLE","Eastern","rural/urban merged","n_age_826_832",829,"clinical","ppy",2.5781926008063
"SLE","Eastern","rural/urban merged","n_age_833_839",836,"clinical","ppy",2.55654288508593
"SLE","Eastern","rural/urban merged","n_age_840_846",843,"clinical","ppy",2.59735364223503
"SLE","Eastern","rural/urban merged","n_age_847_853",850,"clinical","ppy",2.57887541006199
"SLE","Eastern","rural/urban merged","n_age_854_860",857,"clinical","ppy",2.62914638973715
"SLE","Eastern","rural/urban merged","n_age_861_867",864,"clinical","ppy",2.59038320853823
"SLE","Eastern","rural/urban merged","n_age_868_874",871,"clinical","ppy",2.49658467417013
"SLE","Eastern","rural/urban merged","n_age_875_881",878,"clinical","ppy",2.39759681664736
"SLE","Eastern","rural/urban merged","n_age_882_888",885,"clinical","ppy",2.43487536803603
"SLE","Eastern","rural/urban merged","n_age_889_895",892,"clinical","ppy",2.44718944126807
"SLE","Eastern","rural/urban merged","n_age_896_902",899,"clinical","ppy",2.55905270879161
"SLE","Eastern","rural/urban merged","n_age_903_909",906,"clinical","ppy",2.53086845003184
"SLE","Eastern","rural/urban merged","n_age_910_916",913,"clinical","ppy",2.48821891726104
"SLE","Eastern","rural/urban merged","n_age_0_6",3,"severe","ppy",0.0107565312722583
"SLE","Eastern","rural/urban merged","n_age_7_13",10,"severe","ppy",0.00635603641605512
"SLE","Eastern","rural/urban merged","n_age_14_20",17,"severe","ppy",0.00975694035470309
"SLE","Eastern","rural/urban merged","n_age_21_27",24,"severe","ppy",0.00692443741012365
"SLE","Eastern","rural/urban merged","n_age_28_34",31,"severe","ppy",0.0151326652312079
"SLE","Eastern","rural/urban merged","n_age_35_41",38,"severe","ppy",0.01404526304912
"SLE","Eastern","rural/urban merged","n_age_42_48",45,"severe","ppy",0.00228369754434291
"SLE","Eastern","rural/urban merged","n_age_49_55",52,"severe","ppy",0.0218454715490551
"SLE","Eastern","rural/urban merged","n_age_56_62",59,"severe","ppy",0.034115563331916
"SLE","Eastern","rural/urban merged","n_age_63_69",66,"severe","ppy",0.0296027195180563
"SLE","Eastern","rural/urban merged","n_age_70_76",73,"severe","ppy",0.0280248160656289
"SLE","Eastern","rural/urban merged","n_age_77_83",80,"severe","ppy",0.0426997706448866
"SLE","Eastern","rural/urban merged","n_age_84_90",87,"severe","ppy",0.0284446528190301
"SLE","Eastern","rural/urban merged","n_age_91_97",94,"severe","ppy",0.0322705205957961
"SLE","Eastern","rural/urban merged","n_age_98_104",101,"severe","ppy",0.0320829216011767
"SLE","Eastern","rural/urban merged","n_age_105_111",108,"severe","ppy",0.0410433999200553
"SLE","Eastern","rural/urban merged","n_age_112_118",115,"severe","ppy",0.0332038274198906
