Country,Iso code,v024,v025,dataset
NA,NM,omusati,urban,NMKR61FL
NA,NM,omaheke,rural,NMKR61FL
NA,NM,hardap,rural,NMKR61FL
NA,NM,otjozondjupa,rural,NMKR61FL
NA,NM,karas,urban,NMKR61FL
NA,NM,oshikoto,rural,NMKR61FL
NA,NM,kavango,urban,NMKR61FL
NA,NM,erongo,urban,NMKR61FL
NA,NM,hardap,urban,NMKR61FL
NA,NM,karas,rural,NMKR61FL
NA,NM,kunene,rural,NMKR61FL
NA,NM,otjozondjupa,urban,NMKR61FL
NA,NM,oshana,urban,NMKR61FL
NA,NM,kavango,rural,NMKR61FL
NA,NM,kunene,urban,NMKR61FL
NA,NM,omaheke,urban,NMKR61FL
NA,NM,caprivi,urban,NMKR61FL
NA,NM,ohangwena,rural,NMKR61FL
NA,NM,erongo,rural,NMKR61FL
NA,NM,oshikoto,urban,NMKR61FL
NA,NM,ohangwena,urban,NMKR61FL
NA,NM,khomas,rural,NMKR61FL
NA,RW,kigali,rural,RWKR81FL
NA,RW,south,rural,RWKR81FL
NA,RW,north,rural,RWKR81FL
NA,RW,east,rural,RWKR81FL
NA,RW,west,rural,RWKR81FL
NA,RW,north,urban,RWKR81FL
NA,RW,kigali,urban,RWKR81FL
NA,RW,east,urban,RWKR81FL
NA,RW,west,urban,RWKR81FL
NA,RW,south,urban,RWKR81FL
